datetime,open,high,low,close,volume
"14,07,23 06:04",31359.61,31359.61,31350,31350.01,11.22169
"14,07,23 05:49",31357.09,31357.1,31357.09,31357.1,6.65425
"14,07,23 05:34",31391.93,31393.99,31390.55,31391.33,14.50869
"14,07,23 05:19",31360.9,31360.91,31359.13,31359.13,8.01235
"14,07,23 05:04",31380.75,31380.76,31368,31372,47.41916
"14,07,23 04:49",31410,31435.91,31410,31432.02,72.67107
"14,07,23 04:34",31435.01,31446,31424.4,31425.61,29.25021
"14,07,23 04:19",31438.71,31446,31438.71,31445.99,6.61223
"14,07,23 04:04",31453.99,31455.36,31453,31453,7.31127
"14,07,23 03:49",31421.81,31421.82,31414,31414,6.58098
"14,07,23 03:34",31491.49,31502.76,31490.01,31502.75,10.90088
"14,07,23 03:19",31528,31530,31510.26,31527.92,38.94426
"14,07,23 03:04",31458.85,31458.85,31454.71,31454.71,7.45922
"14,07,23 02:49",31415.01,31415.02,31415.01,31415.01,10.97534
"14,07,23 02:34",31384.06,31399.99,31384.05,31396.82,30.83929
"14,07,23 02:19",31438,31438.01,31417.17,31417.17,16.07866
"14,07,23 02:04",31455.99,31456.34,31442,31445.44,33.21187
"14,07,23 01:49",31389.3,31391.2,31389.29,31391.2,11.98939
"14,07,23 01:34",31422,31422.01,31412.48,31412.48,32.44565
"14,07,23 01:19",31385.75,31388.53,31372.15,31387.94,37.32931
"14,07,23 01:04",31395.16,31407.99,31395.16,31403.75,43.37176
"14,07,23 00:49",31487.51,31498.88,31474.01,31484.02,100.72935
"14,07,23 00:34",31468.99,31479.13,31446,31454.23,39.47003
"14,07,23 00:19",31412.86,31412.86,31386,31401.79,35.50464
"14,07,23 00:04",31456.55,31456.55,31435.66,31436.01,39.72855
"13,07,23 23:49",31436.86,31438.41,31425.83,31431.99,21.63323
"13,07,23 23:34",31380.38,31402.25,31380.38,31402.24,18.2214
"13,07,23 23:19",31354,31372.49,31350.01,31372.49,24.74799
"13,07,23 23:04",31369.56,31383.32,31365.9,31380.02,31.62199
"13,07,23 22:49",31321.28,31332.01,31319.26,31319.26,20.30987
"13,07,23 22:34",31319.82,31319.83,31301.66,31301.67,37.18368
"13,07,23 22:19",31319.61,31333.52,31319.6,31329.12,23.7616
"13,07,23 22:04",31272.01,31279.13,31272,31279.13,8.56024
"13,07,23 21:49",31277.06,31280.85,31271.52,31275.23,20.69787
"13,07,23 21:34",31115.98,31157.81,31106.69,31143.89,50.10283
"13,07,23 21:19",31181.98,31205.93,31173.64,31173.64,29.46007
"13,07,23 21:04",31259.93,31299.96,31221.01,31294.03,78.18008
"13,07,23 20:49",31458,31473.99,31447.28,31472.41,22.75554
"13,07,23 20:34",31440.74,31470,31430.36,31437.38,97.02493
